Ligand_Name,Site_Number,With_Or_Without_Water,dG,Mean,RMSD_Value
Wogonoside,Site489,WOW,-5.524099551,-5.464961307,0.28216773
Wogonoside,Site490,WOW,1.867134805,0,0.30465633
Wogonoside,Site491,WOW,1.752020636,0,0
Wogonoside,Site492,WOW,1.838033821,0,0.27932823
Wogonoside,Site493,WOW,1.618718353,1.768976904,0.26874825
Wogonoside,Site494,WOW,-3.827815993,0,0.05471182
Wogonoside,Site495,WOW,-3.126683864,0,0
Wogonoside,Site496,WOW,-2.729865291,0,0.18369214
Wogonoside,Site497,WOW,-2.687350721,-3.092928967,0.1787162
Wogonoside,Site498,WOW,-0.465706506,0,0.19845924
Wogonoside,Site499,WOW,-1.467316328,0,0
Wogonoside,Site500,WOW,-1.48403554,0,0.30359352
Wogonoside,Site501,WOW,-1.688057705,-1.27627902,0.24986686
,,,,,0.26999307
