lig_name,LF Rank Score,LF dG,LF VSscore,LF LE
Lopinavir,-15.234,-10.714,-13.017,-0.233
W_Forsythoside_E,-9.940,-7.396,-12.364,-0.231
Forsythoside_E,-10.915,-7.426,-13.821,-0.232
W_Lopinavir,-15.082,-11.196,-13.084,-0.243
W_Baicalein,-10.835,-7.480,-9.171,-0.374
Baicalein,-11.742,-7.154,-9.462,-0.358
AR-DIA-9e4459de-1,-6.721,-12.441,-16.310,-0.276
W_Baicalin,-12.611,-8.432,-12.434,-0.263
Baicalin,-12.714,-7.994,-12.290,-0.250
W_Diammonium Glycyrrhizinate,-10.538,-10.288,-17.223,-0.177
iammonium Glycyrrhizinate,-9.716,-7.184,-15.427,-0.124
W_Wogonin,-11.173,-7.157,-8.496,-0.341
Wogonin,-10.078,-7.036,-7.720,-0.335
W_Wogonoside,-12.119,-7.815,-12.092,-0.237
Wogonoside,-11.738,-8.327,-12.252,-0.252
W_VTRRT-13V2,-15.491,-8.447,-15.249,-0.166
VTRRT-13V2,-16.557,-8.977,-15.089,-0.176
