lig_name,LF Rank Score,LF dG,LF VSscore,LF LE
A O6K 502,-13.139,-10.875,-15.379,-0.253
W_Forsythoside_E,-10.675,-6.888,-13.423,-0.215
W_Lopinavir,-12.399,-8.398,-10.601,-0.183
Forsythoside_E,-9.329,-5.592,-12.338,-0.175
Lopinavir,-12.617,-9.124,-10.898,-0.198
AR-DIA-9e4459de-1,-4.601,-10.089,-11.556,-0.224
Baicalin,-12.999,-7.842,-11.696,-0.245
Baicalein,-11.022,-6.566,-8.093,-0.328
W_Baicalin,-12.090,-8.741,-12.329,-0.273
R_Baicalein,-10.929,-6.597,-7.550,-0.330
W_VTRRT-13V2.1,-13.693,-7.626,-13.117,-0.150
VTRRT-13V2.1,-12.216,-6.739,-12.988,-0.132
W_Wogonin,-10.496,-6.696,-7.453,-0.319
Wogonin,-10.163,-6.345,-7.667,-0.302
W_Wogonoside,-11.122,-8.054,-11.339,-0.244
Wogonoside,-12.693,-7.876,-11.416,-0.239
W_NHC,-8.574,-6.448,-7.852,-0.358
NHC,-7.901,-4.993,-7.051,-0.277
