lig_name,LF Rank Score,LF dG,LF VSscore,LF LE
W_DAR-DIA-9e4459de-1,-4.875,-10.649,-12.270,-0.237
AR-DIA-9e4459de-1,-4.520,-10.356,-11.860,-0.230
W_Baicalein,-10.895,-6.877,-8.905,-0.344
Baicalein,-11.077,-7.080,-8.567,-0.354
W_Baicalin,-12.268,-8.399,-12.452,-0.262
Baicalin,-11.453,-7.009,-11.085,-0.219
W_Diammonium Glycyrrhizinate,-8.247,-8.684,-13.953,-0.150
iammonium Glycyrrhizinate,-8.331,-9.004,-14.599,-0.155
Forsythoside E,-9.882,-4.703,-11.457,-0.147
W_Lopinavir,-11.967,-8.774,-11.519,-0.191
Lopinavir,-11.717,-10.314,-11.935,-0.224
W_Wogonoside,-11.342,-7.107,-11.296,-0.215
Wogonoside,-10.841,-7.530,-11.241,-0.228
W_Wogonin,-10.376,-7.023,-8.218,-0.334
Wogonin,-10.556,-6.966,-7.985,-0.332
W_VTRRT-13V2,-13.275,-8.597,-13.952,-0.169
VTRRT-13V2,-12.339,-6.652,-11.617,-0.130
