lig_name,LF Rank Score,LF dG,LF VSscore,LF LE
W_DAR-DIA-9e4459de-1,-4.046,-8.501,-12.722,-0.189
AR-DIA-9e4459de-1,-2.931,-7.621,-9.428,-0.169
W_Baicalein,-8.877,-6.141,-7.544,-0.307
Baicalein,-9.040,-4.756,-6.373,-0.238
W_Baicalin,-10.147,-5.952,-9.735,-0.186
Baicalin,-10.295,-4.749,-9.281,-0.148
W_Forsythoside E,-7.310,-4.419,-8.317,-0.138
Forsythoside E,-7.733,-5.283,-11.038,-0.165
W_Lopinavir,-7.287,-6.666,-8.103,-0.145
Lopinavir,-8.804,-5.197,-8.257,-0.113
W_Wogonoside,-8.939,-6.160,-9.360,-0.187
Wogonoside,-9.858,-5.004,-9.327,-0.152
W_Wogonin,-9.484,-6.254,-7.405,-0.298
Wogonin,-9.418,-6.195,-7.281,-0.295
W_VTRRT-12V2,-8.396,-4.802,-9.930,-0.094
VTRRT-12V2,-10.307,-6.175,-10.835,-0.121
