lig_name,LF Rank Score,LF dG,LF VSscore,LF LE
W_DAR-DIA-9e4459de-1,-4.467,-10.649,-12.272,-0.237
AR-DIA-9e4459de-1,-3.721,-10.012,-14.275,-0.222
W_Baicalein,-11.124,-6.717,-8.286,-0.336
Baicalein,-10.661,-7.101,-8.817,-0.355
W_Baicalin,-11.925,-6.236,-10.982,-0.195
Baicalin,-11.549,-6.598,-11.364,-0.206
W_Forsythoside E,-9.725,-6.007,-12.195,-0.188
Forsythoside E,-9.926,-6.549,-12.317,-0.205
W_Lopinavir,-12.740,-11.003,-12.505,-0.239
Lopinavir,-12.072,-8.812,-11.350,-0.192
W_Wogonoside,-11.536,-7.381,-11.304,-0.224
Wogonoside,-11.544,-7.886,-11.405,-0.239
W_Wogonin,-10.519,-6.611,-8.113,-0.315
Wogonin,-10.173,-6.547,-7.958,-0.312
W_VTRRT-13V2,-12.729,-5.892,-12.128,-0.116
VTRRT-13V2,-11.845,-6.578,-12.452,-0.129
