lig_name,LF Rank Score,LF dG,LF VSscore,LF LE
W_Baicalin,-12.758,-8.304,-12.503,-0.260
Baicalin,-12.540,-9.515,-13.552,-0.297
W_Lopinavir,-15.138,-10.566,-12.814,-0.230
Lopinavir,-15.212,-10.673,-12.866,-0.232
W_Forsythoside_E,-10.923,-8.018,-13.582,-0.251
Forsythoside_E,-10.675,-7.316,-13.911,-0.229
W_Baicalein,-10.878,-5.430,-7.631,-0.272
Baicalein,-10.702,-6.430,-7.456,-0.322
W_DAR-DIA-9e4459de-1,-6.204,-12.444,-13.755,-0.277
AR-DIA-9e4459de-1,-5.793,-11.463,-13.080,-0.255
W_Wogonin,-11.088,-7.142,-8.466,-0.340
Wogonin,-10.424,-6.617,-7.635,-0.315
W_Wogonoside,-12.049,-8.470,-11.814,-0.257
Wogonoside,-11.878,-8.241,-11.651,-0.250
W_VTRRT-13V2,-16.076,-10.067,-16.278,-0.197
VTRRT-13V2,-17.565,-5.822,-12.905,-0.114
